imdb_title_id,title,year,genre,country,language,director,description,avg_vote,votes
tt0008196,Scare Me,2020,Horror,USA,English,Josh Ruben,"During a power outage, two strangers tell scary stories. The more Fred and Fanny commit to their tales, the more the stories come to life in their Catskills cabin. The horrors of reality manifest when Fred confronts his ultimate fear.",3.4,138
tt0008279,1800 gramów,2019,Comedy,Poland,Polish,Marcin Glowacki,"A touching story about the most important human matters: love, loneliness, sacrifice and courage, around the life of Ewa, a woman who works looking for families for orphaned children.",5.7,153
tt0008536,Le sel des larmes,2020,Drama,"France, Switzerland",French,Philippe Garrel,"A provincial youngster who travels up to Paris to sit an entrance exam for a ""grande école"". His path crosses that of a young woman and they strike up a short-lived relationship.",5.8,210
tt0008634,Premier de la classe,2019,Comedy,"France, Belgium","French, Bambara",Stéphane Ben Lahcene,,5.3,112
tt0008672,Mon chien stupide,2019,Comedy,"France, Belgium",French,Yvan Attal,"Henri is a middle-aged writer in crisis. Just at a time when he assesses of his life, an enormous gray dog, impolite and smelly, sneaks into Henri's house.",6.2,724
tt0008679,Bellezonismo,2019,Comedy,Spain,Spanish,Jordi Arencón,Two rally drivers get lost during a competition and end up stranded in a Beauty Technification Center in the middle of nowhere.,1.8,117
tt0008710,La femme de mon frère,2019,Drama,Canada,French,Monia Chokri,"Sophia, an unemployed academic, is forced to change the way she thinks and lives her life when Karim, her beloved brother, falls in love.",6.9,740
tt0008843,Fjols til Fjells,2020,Comedy,Norway,Norwegian,Petter Holmsen,"Everything that can go wrong goes wrong when care free ski bums, frustrated cabin owners, skiing Danes and partying youngsters team up on a Norwegian mountain resort with a very absent hotel manager.",4.6,197
tt0008879,Fulci for fake,2019,Biography,"UK, Italy",Italian,Simone Scafidi,"The first biopic about Lucio Fulci. With never seen before footage, photos and interviews.",6.3,118
tt0008930,Gli infedeli,2020,Comedy,Italy,Italian,Stefano Mordini,"From campy lies to sexy surprises, this collection of vignettes captures the follies of several men as they fumble with fidelity and relationships.",4.7,856
tt0008950,Firincinin Karisi,2019,Comedy,Turkey,Turkish,Murat Onbul,"Ferdane, a naive woman, has an ordinary life with her husband, the baker Mustafa. Ferdane, accustomed to the behavior of Mustafa, a masked and jealous man, is confronted with unexpected ...",2.9,728
tt0009014,Tutti pazzi per Yves,2019,Comedy,France,French,Benoît Forgeard,"Jerem moved to his grandmother's house to compose a rap record. He meets So, a mysterious investigator on behalf of the start-up Digital Cool, who persuades him to take the test Yves, a ...",5.5,402
tt0009062,Dog Town,2019,Animation,USA,English,James Snider,"When the inconsiderate residents of Dog Town get a little too loud for their own good, the neighbors take notice and call for help in a last-ditch effort to restore peace and justice.",4,201
tt0009153,Yin he bu xi ban,2019,Drama,China,Mandarin,"Chao Deng, Baimei Yu","When his space shuttle flight has an accident, an astronaut remembers the lessons his father taught him growing up.",6,326
tt0009356,The Haunting of La Llorona,2019,Horror,USA,English,Dennis Devine,"The screams of the children echo throughout the night as a violent reminder of a demon of the past. La Llorona, a paranormal force has returned and seeks the blood of the innocent, proving that the legend is real.",2.7,122
tt0009440,Ikinci pärdä,2018,Drama,Azerbaijan,Azerbaijani,Emil Guliev,Tima's friends backbite on him after he leaves early from their friend Ibish's birthday party. Tima is going to experience a series of unexpected events.,8.6,201
tt0009608,Don't Let Them In,2020,Horror,UK,English,Mike Dunkin,"A home invasion horror movie in the vein of You're Next and The Purge, about a group of people under siege by masked intruders in an abandoned hotel.",4.7,582
tt0009652,Adam,2019,Drama,"Morocco, France, Belgium",Arabic,Maryam Touzani,"Abla runs a modest local bakery from her home in Casablanca where she lives alone with her 8-year-old daughter, Warda. When Samia, a young pregnant woman knocks on their door, Abla is far from imagining that her life will change forever.",7.2,590
tt0009796,Liu Yu Tian,2019,Crime,China,Chinese,Feng Zu,A detective investigating a bizarre murder case begins to fall in love with a surgeon he has met while trying to solve the crime.,5.6,148
tt0009893,Per amore di Megan,2018,Thriller,USA,English,Danny J. Boyle,"Melissa, a happily married woman with an eight-year-old daughter, invites her husband's mother to live with them, only to realize that Grandma is unhinged and wants to kidnap Melissa's daughter to replace her own dead child.",5,213
tt0010071,"Family Romance, LLC",2019,Drama,USA,Japanese,Werner Herzog,A man is hired to impersonate the missing father of a young girl.,6.8,1540
tt0010103,Christmas a la Mode,2019,Romance,USA,English,John Stimpson,A woman needs a miracle in order to save her family's farm and her father's legacy in time for a happy Christmas.,6.7,389
tt0010137,Chun Jiang Shui Nuan,2019,Drama,China,Chinese,Xiaogang Gu,A feature film shot over the course of two years intended to capture the changing of the seasons along the river in a town in the Fuyang district of Hangzhou city.,7.1,314
tt0010162,Ceniza Negra,2019,Drama,"Costa Rica, Argentina, Chile, France",Spanish,Sofia Quiros,"Selva (13) lives in a coastal town in the Caribbean. After the sudden disappearance of her only motherly figure, she is left to take care of her grandfather who doesn't want to live. ...",6,124
tt0010193,Litigante,2019,Drama,"Colombia, France",Spanish,Franco Lolli,A single mother balances taking care of her mother during her fight with cancer while dealing with a corruption scandal at work.,6.5,350
tt0010208,Huo zhe chang zhe,2019,Drama,"China, France, Canada",Chinese,Johnny Ma,A Sichuan Opera troupe are faced with the demolition of their theater and dissolution.,6.3,119
tt0010267,Tlamess,2019,Drama,"Tunisia, France",Arabic,Alaeddine Slim,"S is a young soldier in the southern desert of Tunisia. When he learns about his mother's death, he obtains a week's leave and goes back home. He will never return to the camp.",5.9,130
tt0010298,Paapam Cheyyathavar Kalleriyatte,2020,Comedy,India,Malayalam,Shambhu Purushothaman,"Christians believe that marriages are made in heaven. It is a satirical take on the belief, which is reinforced through marriage rituals, about the Christian marriage and the reality of it as seen around us.",5.5,287
tt0010456,Yeh Ballet,2020,Drama,India,Hindi,Sooni Taraporevala,"Discovered by an eccentric ballet master, two gifted but underprivileged Mumbai teens face bigotry and disapproval as they pursue their dancing dreams.",7.6,777
tt0010466,Ghost,2020,Drama,UK,English,Anthony Z. James,"On the first day of freedom, a grizzled ex-con must reconnect with his troubled son before his violent past catches up with them.",5.5,212
tt0010484,O Filme do Bruno Aleixo,2019,Comedy,Portugal,Portuguese,"João Moreira, Pedro Santo","The famous character of YouTube, Bruno Aleixo books his own movie. In fact, Bruno decides to write an autobiography. He meets with friends so they can consider the ideas for the text.",7.2,571
tt0010598,Lillian,2019,Drama,Austria,"Russian, English",Andreas Horvath,An emigrant in New York decides to walk back to her home in Russia.,6.8,517
tt0010853,Ghost Tropic,2019,Drama,"Belgium, Netherlands","Dutch, French",Bas Devos,"After a long day at work, Khadija falls asleep on the last subway train. When she wakes up at the end of the line, she has no choice but to make her way home on foot.",6.5,253
tt0010925,Saeng-il,2019,Drama,South Korea,Korean,Jong-un Lee,"After April 2014 - A story of those left behind Jung-il and Soon-nam miss their son, Su-ho, who passed away in a terrible accident. His family's longing for him only gets bigger as his ...",6.8,215
tt0011000,A Dose of Happiness,2019,Drama,"Bulgaria, UK",Bulgarian,Yana Titova,"The real story of the journalist Vesela Toteva (in the role is her daughter -Valentina Karoleva) searching for her own happiness during the dynamic and uncertain 90's in Bulgaria. A tale about drugs, fall, fear and redemption.",7.7,795
tt0011193,10 jours sans maman,2020,Comedy,France,French,Ludovic Bernard,"Antoine is the Head of HR of a big company. When his wife decides to go on holiday and leave him with the responsibility of their four kids, he knows it will be easy. But Antoine has underestimated the mess that it can be.",5,303
tt0011217,Enkel für Anfänger,2020,Comedy,Germany,German,Wolfgang Groos,A group of pensioners want to escape the boredom of their everyday life.,6.7,149
tt0011221,Badland,2019,Western,USA,English,Justin Lee,"Detective Matthias Breecher is hired to track down the worst of the Confederate war criminals. As he roams the Old West seeking justice, his resolve is tested when he meets a determined pioneer woman who is far more than she seems.",5.5,1693
tt0011294,Alma de Héroe,2019,Action,Colombia,Spanish,Orlando Pardo,A soldier will have a mission of rescuing his partner kidnapped in the Colombian jungle although he will miss a dating with a beautiful girl that is his partner's sister.,6.7,111
tt0011302,Un amore degenerato,2019,Thriller,USA,English,Michael Feifer,Jamie's (Emma Bell) marriage falls apart when she finds out her husband has been cheating on her. She heads home to her family with her young son in order to figure out what to do next. She...,3.5,293
tt0011317,Munchausen by Internet,2019,Thriller,USA,English,Michael Feifer,"A young couple Mira (Abbie Cobb) and Todd (Sean Faris) hire a live-in nurse (Lyndon Smith) to be the caregiver for their sick son, only to discover that she is an ""angel of death"" intent on replacing Mira through any means necessary.",4.2,110
tt0011344,La dea fortuna,2019,Drama,Italy,Italian,Ferzan Ozpetek,"When Annamaria, a longtime friend of Alessandro and Arturo, ask the couple to take care of her children, the relationship between the two men reaches a point of no return.",6,1112
tt0011369,Gosti,2019,Horror,Russia,Russian,Evgeniy Abyzov,Young Katya meets a merry company of visiting guys who have a specific entertainment - to organize parties in other people's empty houses. And Katya knows the right place: an old summer ...,3.8,231
tt0011370,Vendetta letale,2019,Thriller,USA,English,Tom Shell,New school headmaster and single mother Kathy discovers her vacation fling with charming 18-year-old Ian was no accident when he transfers to her school targeting Kathy and her teenage ...,4.7,277
tt0011415,A Stormy Night,2020,Drama,Spain,English,David Moragas,"Marcos lands in New York only to find out his layover flight to San Francisco has been canceled. Having nowhere to go, he ends up in his friend's apartment with a complete stranger: Alan.",5.4,168
tt0011440,Minyan,2020,Drama,USA,"English, Hebrew, Yiddish, Russian, German",Eric Steel,,6.8,121
tt0011513,The Father,2020,Drama,"UK, France",English,Florian Zeller,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",8.2,148
tt0011623,Agent Jade Black,2020,Action,USA,English,Terry Spears,A skilled young female agent is tasked with capturing a rogue former agent before she can unleash a biological weapon starting with the wealthy and powerful purveyors of the international sex trade.,1.7,181
tt0011641,VHYes,2019,Comedy,USA,English,Jack Henry Robbins,"This bizarre retro comedy, shot entirely on VHS and Beta, follows 12-year-old Ralph as he accidentally records home videos and his favorite late night shows over his parents' wedding tape.",5.7,364
tt0011652,Once in Trubchevsk,2019,Drama,Russia,Russian,Larisa Sadilova,A chronicle of life in the Russian village of Trubchevsk.,5.7,130
tt0011679,Am I a Serial Killer?,2019,Thriller,USA,English,Penelope Buitenhuis,A teenage girl visits her mom on death row and gets lured into a dangerous trap to take the fall for her mother's crimes.,5,144
tt0011716,Cetto c'è senzadubbiamente,2019,Comedy,Italy,Italian,Giulio Manfredonia,"Cetto has left politics and Italy to move to Germany, where he starts a chain of restaurants and pizzerias. One day his aunt reveals to him that Cetto is the heir of Prince Luigi Buffo of Calabria.",5.1,510
tt0011837,A Killer Next Door,2020,Thriller,UK,English,Andrew Jones,A young girl begins to suspect that her neighbor on a quiet suburban street is fugitive family killer John List.,3.1,197
tt0011948,Jyeshthoputro,2019,Drama,India,Bengali,Kaushik Ganguly,The plot revolves around the conflict between two sons whose lives are poles apart after their father demised in a sudden accident.,7.5,364
tt0012134,Lynn + Lucy,2019,Drama,UK,English,Fyzal Boulifa,"Lynn and Lucy are lifelong best friends, their relationship as intense as any romance. Neither has ventured far from where they grew up. Lynn, who married her first boyfriend and whose ...",6.7,221
tt0012136,Sanga Thamizhan,2019,Action,India,Tamil,Vijay Chandar,"Once a young man named Tamil learns that a businessman is planning to build a factory in his village, he tries to stop the plan for fear of pollution.",3.4,257
tt0012187,Gubbi Mele Brahmastra,2019,Comedy,India,Kannada,Sujay Shastry,"Software engineer Venkata Krishna Gubbi meets Purple Priya, and falls head over heels for her. But that's only the beginning his problems. All hell breaks loose once Gubbi finds himself on ...",5.1,109
tt0012249,The Outsider,2019,Western,USA,English,Timothy Woodward Jr.,"In search of a better life, a railroad worker (Foo) finds himself on the wrong side of a group of corrupt lawmen. As the Marshal (Adkins) attempts to control his town, tragedy strikes forcing him to decide between justice and family.",5.2,1198
tt0012281,Eorin uiroein,2019,Drama,South Korea,Korean,Kyu-sung Jang,"A rookie lawyer blinded by success, meets a 10 year old girl as his first client, who insists she killed her younger brother.",7.2,207
tt0012334,Winter Song,2019,Drama,USA,English,Camille Brown,"Clio befriends Fred, a former jazz singer down on his luck. They form a special bond over music, and Clio, having just lost her own father, helps Fred reconnect with his own daughter, just in time for Christmas.",6.6,192
tt0012382,Badnaam Gali,2019,Comedy,India,Hindi,Ashwin Shetty,"It encompasses the journey of a surrogate mother, played by Patralekhaa, and her dynamic relationship with people around her.",7,529
tt0012397,Crudele fissazione,2019,Thriller,USA,English,Damián Romay,A recent widow is glad when her son finds a new friend. But it soon becomes clear that he's after a different type of companionship. Will their attraction be her undoing? And what secrets is hiding?,4.3,151
tt0012408,Bad Ben: The Way In,2019,Horror,USA,English,Nigel Bach,"The new owner of the home on Steelmanville Road has hired Tom Riley to go back into the home to rid it of all malevolent forces prior to moving her family in. Tom returns, alone, and finds himself battling 9 demons.",5.6,125
tt0012631,99,2019,Drama,India,Kannada,Preetham Gubbi,"Ramachandra and Janaki meet up 20 years after graduating high school, class of 1999, at a reunion party.",6.2,343
tt0012642,Geroy,2019,Action,Russia,Russian,Karen Oganesyan,"15 years ago, Andrei, under the guidance of his father, Colonel Rodina, was trained in a secret special school, where agents of the Foreign Intelligence Service were trained from teenagers....",6.3,1239
tt0012645,Evil Little Things,2019,Horror,USA,English,Matt Green,A young boy finds a mystical toymaker with dark stories to tell.,3.1,143
tt0012650,Annem,2019,Drama,Turkey,Turkish,Mustafa Kotan,"A self sacrificing, selfless mother who makes the impossible ""possible"" for her daughter - a daughter who is ashamed of her mother and wants to run away from her mother and her life with ...",5.9,1099
tt0012699,Alone,2020,Thriller,USA,English,Vladislav Khesin,"""Alone"" follows a writer seeking peace and solitude in the countryside in an attempt to recover from tragedy and finish her book. However, as the welcoming country house turns into a living...",4.7,514
tt0012745,Liang zhi lao hu,2019,Comedy,China,Mandarin,Fei Li,The kidnapper is so inept that his businessman target takes over the operation and recruits him to run three operations for him.,5.7,166
tt0012763,Takatak,2019,Comedy,India,Marathi,Milind Arun Kavde,Level-headed and matured Kamaxi and her wild and impulsive younger sister Minaxi get into a roller-coaster ride as Kamaxi gets hitched to a porn addict and Minaxi ends up in the middle of a love triangle.,6,153
tt0012769,0.0 Mhz,2019,Horror,South Korea,Korean,Sun-Dong Yoo,Members of a supernatural exploration club go into a haunted house.,4.8,455
tt0012806,ABCD: American-Born Confused Desi,2019,Comedy,India,Telugu,Sanjeev Reddy,Aravind aka Avi (Allu Sirish) and his cousin Bala Shanmugam aka Basha (Master Bharat) are NRIs who love to live their life king size. What happens when the former's father (Naga Babu) decides to teach them a lesson in responsibility?,5.4,110
tt0012973,Mujeres Arriba,2020,Comedy,Chile,Spanish,Andres Feddersen,Mujeres Arriba is a romantic comedy that tells the journey of three friends who are looking for a more entertaining and fiery sexuality with their respective partners.,3.6,353
tt0012975,Laiye Je Yaarian,2019,Romance,"Canada, India",Punjabi,Sukh Sanghera,"A young businesswoman hires a charming con man in a bid to defeat her business rival. Complications arise when he turns out to be unreliable and worse still, romance blooms!",6.9,119
tt0013033,My Alien Girlfriend,2019,Comedy,USA,English,Sean King,"On the night of his Bachelor party, Joe has an Alien crash land in his back yard. With his fiancée becoming suspicious, can he get the Alien home before she finds out and cancels their upcoming wedding?",5.2,166
tt0013122,Oththa Seruppu Size 7,2019,Drama,India,Tamil,Parthiban,An emotionally unstable murder suspect explains the modus operandi behind the crimes he had committed to a few cops which helps in unfolding some intriguing revelation.,8.6,1902
tt0013134,Onze Jongens in Miami,2020,Comedy,Netherlands,Dutch,Johan Nijenhuis,"When charismatic stripper Jorrit is single again, his best friend Bas convinces him to open a strip club in Miami. But they could use some extra hands and so their friend Thijs also flies ...",4.4,224
tt0013169,Long Lost Sister,2020,Thriller,USA,English,Lisa France,"After the death of her estranged sister Nikki, with whom she'd hadn't seen since they were separated in foster care, Carly is surprised to learn that she is named in Nikki's will as ...",5.3,126
tt0013372,Adutha Chodyam,2019,Drama,India,Malayalam,A.K.S. Nambiar,,9,410
tt0013386,Present Laughter,2019,Comedy,UK,English,Matthew Warchus,National Theatre's live stage production of Noel Coward's 'Present Laughter'.,8.4,209
tt0013450,Ar Condicionado,2020,Drama,Angola,Portuguese,Fradique,"When the air-conditioners mysteriously start to fall in city of Luanda, Matacedo (security guard) and Zezinha (housemaid) have the mission of retrieving their boss's ac.",6.3,118
tt0013592,Where We Disappear,2019,Drama,USA,English,Simon Fink,A story of survival about a woman's first night in a Soviet prison camp.,4.3,189
tt0013619,Myslennyy volk,2019,Drama,Russia,Russian,Valeriya Gay Germanika,"Winter, moonlit night - Two women with a child make their way through the forest. And somewhere nearby, a werewolf wanders in search of a victim. Either a beast, or a man, or a phantom .",4.2,120
tt0013704,Special Actors,2019,Comedy,Japan,Japanese,Shin'ichirô Ueda,"Kazuto has a lifelong dream of becoming an actor, but has been suffering from a special medical condition where he faints and collapses when he gets nervous.",6.4,183
tt0013830,Ikkayude Shakadam,2019,Comedy,India,Malayalam,Prince Avarachan,Story of an ikka (actor mammootty) fan.,3.9,123
tt0013909,Hometown Killer,2018,Thriller,USA,English,Jeff Hare,A young woman finds her life in danger when an emotionally disturbed police officer she bullied in high school targets her in a twisted plan of revenge.,5.5,141
tt0014108,Verdict,2019,Crime,"Philippines, France","Tagalog, Filipino, English",Raymund Ribay Gutierrez,"Abused and battered wife, Joy, stands up for justice against her alcoholic husband, Dante, in a turmoil process of the justice system.",5.7,116
tt0014358,AB Aani CD,2020,Comedy,India,Marathi,Milind Lele,Two playschool friends Bachchan and Gokhale meet almost after 70 years for a birthday party.,7,115
tt0014397,Carrion,2020,Horror,USA,English,Michael Zaiko Hall,"A young woman shows up on her cousin's doorstep after a ten year absence. As dark events from the past resurface, someone in the woods follows their every move.",2.8,145
tt0014417,Ask Tesadüfleri Sever 2,2020,Romance,Turkey,Turkish,"Ipek Sorak, Ömer Faruk Sorak","An unforgettable love that overcomes all obstacles, even time, distance and falling apart.",7.2,325
tt0014463,The Unborn,2020,Horror,USA,English,Tal Lazar,"Strange, unexplained events unfold at an old factory. Two security guards must come to terms with reality: Tiffany as a future mother, and Joey who is secretly in love with her. But someone...",3.5,192
tt0014516,Siccin 6,2019,Horror,Turkey,Turkish,Alper Mestçi,A girl is haunted by an evil spirit in her family home. Several bad things begin to happen around her house and to her family members. An old character rises back and tries to save the family from their doomed fate.,5.8,829
tt0014524,Tout simplement noir,2020,Comedy,France,French,"John Wax, Jean-Pascal Zadi","A politically incorrect comedy, about the role of black people in French society.",6.5,359
tt0014538,Raatchasi,2019,Drama,India,Tamil,Sy Gowthamraj,"Story of a rural Government school headmistress, who saves the school from its decline and reforms the same by handling the hindrances from private school owners, Govt. officials, politicians and even her colleagues.",7.3,774
tt0014760,Yedinci Kogustaki Mucize,2019,Drama,Turkey,Turkish,Mehmet Ada Öztekin,A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six years old daughter. The prison would be their home. Based on the 2013 Korean movie,8.3,28714
tt0014869,Feo pero Sabroso,2019,Comedy,Colombia,Spanish,Fernando Ayllón,,4.3,125
tt0014874,Il pleuvait des oiseaux,2019,Drama,Canada,French,Louise Archambault,"Three elderly hermits live in the woods. While wildfires threaten the region, their quiet life is about to be shaken by the arrival of two women - A story of intertwined destinies, where love can happen at any age.",7.5,422
tt0014900,Yeh Saali Aashiqui,2019,Thriller,India,Hindi,Cherag Ruparel,"While in college, Sahil and Mittee fall in love, but an unfortunate incident turns their dreamy romance into a nightmare.",7.9,2427
tt0014925,Les enfants d'Isadora,2019,Drama,"France, South Korea",French,Damien Manivel,"After the death of her two children, the legendary dancer Isadora Duncan composed a farewell solo entitled ""The Mother"". A century later, four women meet this upsetting dance.",6,116
tt0015002,Sabea El Boromba,2019,Comedy,Egypt,Arabic,Mahmoud Karim,"In the context of a romantic comic, Omar marries his beloved Nessma despite her father's strong rejection of the matter, and after the wedding ceremony ends, if the unidentified men assault...",5.7,256
tt0015036,Se mieletön remppa,2020,Comedy,Finland,Finnish,Taneli Mustonen,,4.7,111
tt0015064,2 Hours Love,2019,Romance,India,Telugu,Sri Pawar,Story of a couple in a contractual relationship where they meet only for 2 hours a day and behave like strangers during other times.,6.7,202
tt0015119,Ivana the Terrible,2019,Drama,"Romania, Serbia","Romanian, Serbian",Ivana Mladenovic,"It's based on the story of a crisis that took place in the summer of 2017 in the life of Mladenovic, a Serbian-born director living in Romania.",6.7,171
tt0015167,Été 85,2020,Drama,"France, Belgium","French, English",François Ozon,What do you dream of when you're 16 years old and in a seaside resort in Normandy in the 1980s? A best friend? A lifelong teen pact? Scooting off on adventures on a boat or a motorbike? ...,7,519
